                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                   1.02,                0.57711,                 1.0544,                 0.9745,                0.94762,                0.97763,                0.65072,                 1.2193,                0.49403,                 1.1208,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.0014,                0.56683,                 1.0596,                0.97261,                0.95291,                0.98062,                0.65683,                 1.2058,                0.48967,                  1.118,             0.00025479,             0.00025479,             0.00025479
                     85,                0.99845,                0.57719,                 1.0552,                0.98618,                0.94472,                0.97468,                0.66756,                 1.2029,                0.48584,                 1.1094,             0.00024064,             0.00024064,             0.00024064
                     86,                0.99497,                0.56227,                 1.0493,                0.97219,                0.95898,                0.97712,                0.66858,                  1.193,                0.49675,                 1.1058,              0.0002265,              0.0002265,              0.0002265
                     87,                0.99592,                0.56869,                 1.0456,                0.98155,                0.94939,                0.97455,                0.65587,                 1.2228,                0.49776,                 1.1194,             0.00021235,             0.00021235,             0.00021235
                     88,                0.98858,                 0.5656,                 1.0509,                0.97136,                 0.9628,                0.97516,                0.65503,                 1.2162,                0.48305,                 1.1146,              0.0001982,              0.0001982,              0.0001982
                     89,                0.98923,                0.56219,                 1.0402,                0.97877,                0.95203,                0.97576,                0.65846,                 1.2076,                 0.4863,                 1.1125,             0.00018406,             0.00018406,             0.00018406
                     90,                0.97642,                0.56013,                  1.041,                0.97417,                0.95926,                0.97895,                0.66475,                   1.21,                0.48065,                 1.1204,             0.00016991,             0.00016991,             0.00016991
                     91,                0.95686,                0.47203,                 1.0076,                0.95858,                0.96935,                0.97989,                0.65494,                 1.2179,                0.47812,                 1.1214,             0.00015576,             0.00015576,             0.00015576
                     92,                0.91639,                 0.4527,                0.99622,                0.96174,                0.96118,                0.97821,                0.65349,                 1.2174,                0.48022,                 1.1271,             0.00014161,             0.00014161,             0.00014161
                     93,                0.91456,                0.44538,                0.98873,                0.95999,                0.97083,                0.97815,                0.65958,                 1.2217,                0.47304,                 1.1344,             0.00012747,             0.00012747,             0.00012747
                     94,                0.89154,                0.43945,                0.98422,                0.97067,                 0.9619,                0.97869,                0.66664,                 1.2155,                 0.4698,                 1.1274,             0.00011332,             0.00011332,             0.00011332
                     95,                0.89054,                0.43735,                0.98341,                0.96879,                0.96753,                0.97921,                0.66907,                 1.1993,                 0.4663,                 1.1188,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.88823,                0.43569,                0.97742,                0.96811,                0.96339,                0.97745,                0.66671,                 1.2054,                0.46548,                 1.1273,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.87124,                0.43047,                0.97412,                0.95937,                 0.9753,                0.98046,                0.67209,                 1.1889,                0.46161,                 1.1178,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 0.8702,                0.42724,                0.97241,                0.96713,                 0.9665,                0.97863,                0.67573,                 1.1904,                0.45986,                 1.1209,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.87547,                0.43058,                0.97778,                0.97512,                0.96637,                 0.9809,                0.67331,                  1.188,                0.45796,                 1.1197,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.85737,                0.42555,                0.97196,                0.97841,                0.96557,                0.97885,                0.67185,                 1.1948,                0.45882,                 1.1259,             2.8437e-05,             2.8437e-05,             2.8437e-05
